Day Index,Users,Sessions
15-Jan-09,0.552,1.052
13-Feb-09,0.086,0.586
19-Mar-09,0.07,0.57
17-Apr-09,0.125,0.625
17-May-09,0.211,0.711
12-Jun-09,0.016,0.516
11-Jul-09,0.039,0.539
13-Aug-09,0.093,0.593
10-Sep-09,0.132,0.632
11-Oct-09,0.031,0.531
19-Nov-09,0.39,0.89
10-Dec-09,0.234,0.734
16-Jan-10,0.451,0.951
11-Feb-10,0.07,0.57
20-Feb-10,0.062,0.562
21-Feb-10,0.062,0.562
13-Mar-10,0.528,1.028
19-Mar-10,0.023,0.523
07-Apr-10,0.023,0.523
08-Apr-10,0.07,0.57
10-Apr-10,0.031,0.531
16-Apr-10,0.28,0.78
15-May-10,0.093,0.593
20-May-10,0.218,0.718
17-Jun-10,0.047,0.547
30-Jun-10,0.006,0.506
08-Jul-10,0.085,0.585
16-Jul-10,0.085,0.585
12-Aug-10,0.163,0.663
18-Aug-10,0.101,0.601
09-Sep-10,0.039,0.539
17-Sep-10,0.109,0.609
14-Oct-10,0.023,0.523
16-Oct-10,0.016,0.516
22-Oct-10,0.148,0.648
13-Nov-10,0.054,0.554
19-Nov-10,0.109,0.609
10-Dec-10,0.155,0.655
11-Dec-10,0.155,0.655
21-Jan-11,0.105,0.605
22-Jan-11,0.219,0.719
11-Feb-11,0.216,0.716
18-Feb-11,0.139,0.639
18-Mar-11,0.157,0.657
31-Mar-11,0.038,0.538
16-Apr-11,0,0.5
22-Apr-11,0.028,0.528
13-May-11,0.108,0.608
27-May-11,0.073,0.573
11-Jun-11,0.076,0.576
17-Jun-11,0.041,0.541
09-Jul-11,0.028,0.528
14-Jul-11,0,0.5
04-Aug-11,0.069,0.569
11-Aug-11,0.027,0.527
14-Sep-11,0,0.5
28-Sep-11,0,0.5
08-Oct-11,0.078,0.578
13-Oct-11,0.097,0.597
11-Nov-11,0.279,0.779
26-Nov-11,0.041,0.541
10-Dec-11,0.089,0.589
15-Dec-11,0.053,0.553
20-Jan-12,0.146,0.646
21-Jan-12,0.131,0.631
10-Feb-12,0.275,0.775
17-Feb-12,0.097,0.597
15-Mar-12,0.912,1.412
17-Mar-12,0.322,0.822
21-Apr-12,0,0.5
29-Apr-12,0,0.5
19-May-12,0,0.5
27-May-12,0.15,0.65
16-Jun-12,0.288,0.788
28-Jun-12,0.065,0.565
08-Jul-12,0.066,0.566
21-Jul-12,0.035,0.535
16-Aug-12,0,0.5
26-Aug-12,0,0.5
21-Sep-12,0,0.5
27-Sep-12,0.08,0.58
18-Oct-12,0.035,0.535
21-Oct-12,0.34,0.84
16-Nov-12,0.106,0.606
22-Nov-12,0.09,0.59
07-Dec-12,0.107,0.607
10-Dec-12,0.153,0.653
17-Jan-13,0.114,0.614
15-Feb-13,0,0.5
14-Mar-13,0.037,0.537
12-Apr-13,0.036,0.536
16-May-13,0.045,0.545
14-Jun-13,0.073,0.573
18-Jul-13,0.04,0.54
16-Aug-13,0.033,0.533
21-Sep-13,0.067,0.567
18-Oct-13,0,0.5
15-Nov-13,0.041,0.541
13-Dec-13,0.421,0.921
16-Jan-14,0.43,0.93
15-Feb-14,0.216,0.716
19-Mar-14,0,0.5
18-Apr-14,0.215,0.715
16-May-14,0.051,0.551
20-Jun-14,0.087,0.587
18-Jul-14,0.037,0.537
16-Aug-14,0,0.5
19-Sep-14,0.026,0.526
17-Oct-14,0.062,0.562
21-Nov-14,0.15,0.65
12-Dec-14,0.216,0.716
17-Jan-15,0.316,0.816
21-Feb-15,0,0.5
13-Mar-15,0.049,0.549
18-Apr-15,0.055,0.555
15-May-15,0.21,0.71
20-Jun-15,0.35,0.85
16-Jul-15,0.063,0.563
22-Aug-15,0.108,0.608
18-Sep-15,0.065,0.565
16-Oct-15,0.073,0.573
20-Nov-15,0.11,0.61
09-Dec-15,0.18,0.68
15-Jan-16,0.13,0.63
12-Feb-16,0.06,0.56
12-Mar-16,0.04,0.54
16-Apr-16,0.14,0.64
13-May-16,0.16,0.66
11-Jun-16,0.05,0.55
16-Jul-16,0.04,0.54
20-Aug-16,0.056,0.556
16-Sep-16,0.078,0.578
22-Oct-16,0.089,0.589
19-Nov-16,0.11,0.61
10-Dec-16,0.11,0.61
